# massnumber, rigidity, px, py, pz, Nparticles, label
1.000000000000000000e+00 9.549925860214369485e+19 -7.990892481221266719e-01 4.657230902580449250e-01 -3.802083333333333148e-01 2.324508168069481755e-28 2.000000000000000000e+00
1.000000000000000000e+00 6.309573444801943962e+19 1.560012443346917022e-01 -2.734992962166171160e-01 9.491373697916666297e-01 3.206116971312663539e-13 1.000000000000000000e+00
1.000000000000000000e+00 1.096478196143182848e+19 -6.061847453337501079e-01 4.851572024837710884e-01 -6.302083333333332593e-01 1.257911423002423985e-02 2.000000000000000000e+00
1.000000000000000000e+00 1.380384264602886636e+20 -8.461602470510347640e-01 4.589794569107504274e-01 -2.708333333333333148e-01 3.539422703385928961e-31 2.000000000000000000e+00
1.000000000000000000e+00 8.709635899560832205e+19 -8.393096951767164970e-01 4.032843024938148058e-01 -3.645833333333333148e-01 2.354723222629276372e-30 4.000000000000000000e+00
1.000000000000000000e+00 8.709635899560832205e+19 -8.663908689840523758e-01 4.228595765925831640e-01 -2.656250000000000000e-01 2.203807454936303044e-20 4.000000000000000000e+00
1.000000000000000000e+00 7.943282347242789274e+19 -8.202288628462689468e-01 4.319717728670665613e-01 -3.750000000000000000e-01 5.241503194094661890e-27 4.000000000000000000e+00
1.000000000000000000e+00 8.317637711026674074e+19 -8.486830770390587642e-01 4.603479059034996101e-01 -2.604166666666666297e-01 7.630575372811165959e-31 2.000000000000000000e+00
2.700000000000000000e+01 7.389860425810676480e+17 2.267178252004571071e-01 9.292629247376279489e-01 -2.916666666666666297e-01 5.495637296265668686e-02 2.000000000000000000e+00
2.400000000000000000e+01 1.147595293057572736e+18 -7.108360088108355290e-01 -4.157295242500300830e-02 -7.021280924479167407e-01 6.142048378232135841e-02 2.000000000000000000e+00
1.400000000000000000e+01 2.977638453359545344e+18 2.041078451064108623e-01 -1.274104238420002977e-01 -9.706217447916666297e-01 8.345101241556118765e-02 0.000000000000000000e+00
1.000000000000000000e+00 8.709635899560832205e+19 -8.279881627431143754e-01 4.690495005375276971e-01 -3.072916666666666297e-01 1.014124992301670305e-26 2.000000000000000000e+00
1.400000000000000000e+01 9.416119561117216000e+17 7.496713696982939545e-01 -5.776830132897908809e-01 3.229166666666666297e-01 4.958673656747807079e-02 2.000000000000000000e+00
