# rigidity, px, py, pz, Nparticles, x0, y0, z0
9.180762344460581888e+18 6.404124627183066520e-01 -6.893920637239951965e-01 3.385416666666666297e-01 5.516213105200324365e-07 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
7.636225509225901056e+18 4.724073081655844608e-01 -8.709154158588741090e-01 -1.354166666666666574e-01 4.803242114771268505e-06 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
1.445439770745927885e+19 6.125303616305451948e-01 -7.013455276369194857e-01 3.645833333333333148e-01 2.934676699750453491e-09 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
2.280027098389778944e+18 8.238971907614766055e-01 -4.339036899023819838e-01 -3.645833333333333148e-01 5.667882060138929382e-03 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
8.668421261313272832e+18 2.385897977103583478e-01 -1.015151777131549915e-01 -9.657999674479166297e-01 2.644769070951053992e-06 -3.339999999999999858e+00 1.250000000000000000e+00 -3.560000000000000053e+00
5.727169131919425536e+18 4.037599826403935332e-01 -8.815071845134245798e-01 2.447916666666666574e-01 5.933995585587582345e-05 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
8.689004143746845901e+19 6.132484539567321091e-01 -5.983788040152140386e-01 5.156250000000000000e-01 7.533058993823305125e-49 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
9.120108393559115776e+18 3.656129978047739648e-01 -9.307669610789837122e-01 0.000000000000000000e+00 3.375142242832493292e-04 2.080000000000000071e+00 -2.959999999999999964e+00 8.529999999999999361e+00
8.317637711026674074e+19 6.203379362948868714e-01 -6.127715761322675148e-01 4.895833333333333148e-01 1.362581924537067455e-46 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
1.670624112090905190e+19 5.655231357680612359e-01 -8.135391258568624995e-01 -1.354166666666666574e-01 5.354563656363038074e-11 2.770000000000000018e+00 -2.819999999999999840e+00 2.459999999999999964e+00
8.709635899560833024e+18 6.526473454566782406e-01 -7.472793603923176819e-01 1.250000000000000000e-01 4.468998015268501591e-04 2.759999999999999787e+00 -3.149999999999999911e+00 -2.859999999999999876e+00
